iso3,classification,line_code,candidate_sources,first_historical_year,final_actual_year,first_forecast_year,final_strict_year,final_maximum_year,status,notes
FRA,COFOG,GF08,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
FRA,COFOG,GF09,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
FRA,COFOG,GF10,EUROSTAT_GOV10A_EXP;INSEE_APU;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
FRA,ESA_REV,R01,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
FRA,ESA_REV,R02,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
FRA,ESA_REV,R03,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
FRA,ESA_REV,R04,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
FRA,ESA_REV,R05,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7 partial: other-taxes component partial
FRA,ESA_REV,R06,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7 partial: imputed component
FRA,ESA_REV,R07,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
FRA,ESA_REV,R08,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
FRA,ESA_REV,R09,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
