iso3,year,step,item,value_lcu_mn,item_type,item_source_id,basis,run_id,source_id,snapshot_sha256,quality_grade,notes
GBR,1985,B_s1311_d41,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1985,B_s1311_d41,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,C_s13_gf01_7,carried_from_previous_step,18966.931848923454,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1985,C_s13_gf01_7,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1985,C_s13_gf01_7,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,register,sum_fixed_bullet,17618.174648598877,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1986,register,sum_inflation_linked,577.8168170768658,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1986,register,official_total,18195.991465675743,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,A_cg_cash,carried_from_previous_step,18195.991465675743,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,A_cg_cash,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1986,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,B_s1311_d41,carried_from_previous_step,18195.991465675743,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,B_s1311_d41,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1986,B_s1311_d41,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,C_s13_gf01_7,carried_from_previous_step,18195.991465675743,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1986,C_s13_gf01_7,official_total,,official,,,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1986,C_s13_gf01_7,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,register,sum_fixed_bullet,16850.67022051311,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1987,register,sum_inflation_linked,900.6345235158694,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1987,register,official_total,17751.30474402898,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,A_cg_cash,carried_from_previous_step,17751.30474402898,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1987,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,B_s1311_d41,carried_from_previous_step,17751.30474402898,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,B_s1311_d41,official_total,18604.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1987,B_s1311_d41,residual,852.6952559710189,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,C_s13_gf01_7,carried_from_previous_step,18604.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1987,C_s13_gf01_7,official_total,18977.121867607886,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1987,C_s13_gf01_7,residual,373.1218676078861,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,register,sum_fixed_bullet,16331.211839688067,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1988,register,sum_inflation_linked,947.1467293902873,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1988,register,official_total,17278.358569078355,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,A_cg_cash,carried_from_previous_step,17278.358569078355,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1988,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,B_s1311_d41,carried_from_previous_step,17278.358569078355,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,B_s1311_d41,official_total,18941.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1988,B_s1311_d41,residual,1662.6414309216452,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,C_s13_gf01_7,carried_from_previous_step,18941.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1988,C_s13_gf01_7,official_total,19543.053040648196,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1988,C_s13_gf01_7,residual,602.0530406481957,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,register,sum_fixed_bullet,15510.496094353644,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1989,register,sum_inflation_linked,1655.3913054693462,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1989,register,official_total,17165.88739982299,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,A_cg_cash,carried_from_previous_step,17165.88739982299,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1989,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,B_s1311_d41,carried_from_previous_step,17165.88739982299,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,B_s1311_d41,official_total,19947.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1989,B_s1311_d41,residual,2781.11260017701,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1989,C_s13_gf01_7,carried_from_previous_step,19947.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
