scenario,label,year,gdp_bn,primary_balance_pct,spread_bp,oat_10y_pct,avg_new_yield_pct,mlt_avg_maturity_at_issue,redemptions_bn,net_issuance_bn,mlt_gross_issuance_bn,btf_stock,register_interest_bn,gg_interest_bn,gg_interest_pct_gdp,deficit_bn,deficit_pct_gdp,debt_bn,debt_pct_gdp,negotiable_stock_bn,avg_coupon_fixed_pct,coupon_fixed_bn,coupon_linker_bn,uplift_bn,bill_interest_bn,new_issue_interest_bn
current,Current path,2026,3055.8,-2.7,85.0,4.25,4.109186785375475,10.578555866434186,60.738,43.543675831232974,108.1817921109471,215.0,67.27028,77.66,2.5413966882649386,156.2776959528027,5.114133645945503,3600.1172959528026,117.81259558717201,2981.5231427667472,2.2482911977414686,51.1910266118963,2.9419884175072,6.301098299816001,5.6822183625000005,2.2226959528027033
current,Current path,2027,3150.7,-2.5,85.0,4.25,4.109186785375475,10.578555866434186,212.6059326448,143.3828381983927,355.9887708431927,215.0,76.13578466488077,86.84816466488077,2.7564720431929657,159.31426466488077,5.056472043192966,3759.4315606176833,119.32051799973605,3131.2070792649565,2.5373188336375025,54.28194283257019,2.7426194170118423,6.147975650844211,5.649125,7.314121764454528
current,Current path,2028,3245.221,-2.1,80.0,4.2,4.063976765329633,10.578555866434186,251.060618719032,143.98475066626585,395.0453693852978,215.0,87.29010589585091,98.32385729585091,3.0298046664880736,159.98305629585093,4.9298046664880735,3919.4146169135342,120.77496777302791,3280.982151544138,2.8711346364474992,65.6577236102441,2.4412610780766615,5.530845195365586,5.633,8.027276012164563
current,Current path,2029,3342.57763,-1.7,75.0,4.15,4.018766745283792,10.578555866434186,300.7507269433873,143.74085603001132,444.49158297339864,215.0,98.20863386356812,109.57339780556812,3.2781107855846003,159.71206225556813,4.7781107855846,4079.1266791691023,122.03536105066024,3430.1802678970034,3.1039202032430127,76.56932689571411,2.2122405123238256,4.878651494469957,5.616874999999999,8.93153996106023
current,Current path,2030,3442.8549589000004,-1.3,70.0,4.1,3.9735567252379513,10.578555866434186,250.26808996352764,142.98623328285456,393.25432324638217,215.0,109.29648112834508,121.00218798860509,3.514588602572603,158.87359253650507,4.614588602572603,4238.000271705608,123.09552166146605,3577.7544224555195,3.286507751857858,89.56625452856103,1.852770412275759,4.463614383185467,5.60075,7.813091804322806
current,Current path,2031,3546.1406076670005,-0.9,70.0,4.1,3.9735567252379513,10.578555866434186,283.7860144611018,141.39729575485038,425.18331021595213,215.0,120.22824407454138,132.2851221406092,3.7303969801592083,157.1081063942782,4.430396980159209,4395.108378099886,123.94061218546604,3723.338498904881,3.4763491505687285,100.2954036779543,1.7825737120303489,4.102066675719068,5.60075,8.447450008837654
current,Current path,2032,3652.5248258970105,-0.6,70.0,4.1,3.9735567252379513,10.578555866434186,316.4598122960881,142.93559779296302,459.3954100890511,215.0,131.78864716943212,144.20723157748196,3.948151989413696,158.81733088107,4.348151989413696,4553.925708980956,124.67884343161374,3870.160337281689,3.592213694192737,112.18257094912903,1.3931210810048773,3.485036532784236,5.60075,9.127168606513978
current,Current path,2033,3762.100570673921,-0.5,70.0,4.1,3.9735567252379513,10.578555866434186,269.5532479780704,147.35814466051758,416.911392638588,215.0,139.65382819270644,152.44497013299778,4.052123734312867,163.73127184501953,4.352123734312867,4717.656980825976,125.39954454170484,4020.630385474499,3.6420327307797584,121.70624271534946,0.8895885341815731,3.174141602938506,5.60075,8.283105340236906
current,Current path,2034,3874.9635877941387,-0.5,70.0,4.1,3.9735567252379513,10.578555866434186,291.12680435232846,155.2751398563099,446.4019442086383,215.0,147.72816621179518,160.90304241029526,4.152375596950858,172.52793317367767,4.452375596950858,4890.184913999653,126.19950621996526,4179.079666933748,3.7297538602022047,129.30945405344383,0.8621357311670224,3.0868091893366683,5.60075,8.869017237847657
current,Current path,2035,3991.212495427963,-0.5,70.0,4.1,3.9735567252379513,10.578555866434186,342.16730132976033,163.25308736832733,505.4203886980876,215.0,155.84855932740248,169.41868181185757,4.244792328294498,181.39231929814147,4.544792328294498,5071.577233297794,127.0685847748627,4345.2263314579095,3.763614586569772,136.4345282619949,0.8202494435385508,2.951448698950695,5.60075,10.041582922918327
philippe_majority,"Philippe, majority",2026,3055.8,-2.7,85.0,4.25,4.109186785375475,10.578555866434186,60.738,43.543675831232974,108.1817921109471,215.0,67.27028,77.66,2.5413966882649386,156.2776959528027,5.114133645945503,3600.1172959528026,117.81259558717201,2981.5231427667472,2.2482911977414686,51.1910266118963,2.9419884175072,6.301098299816001,5.6822183625000005,2.2226959528027033
philippe_majority,"Philippe, majority",2027,3150.7,-2.5,80.0,4.2,4.063976765329633,10.578555866434186,212.6059326448,143.2942820247516,355.90021466955164,215.0,76.03738891639068,86.74976891639068,2.7533490626334047,159.21586891639066,5.053349062633404,3759.3331648691933,119.31739501917649,3131.1185230913156,2.5311399562449677,54.28194283257019,2.7426194170118423,6.147975650844211,5.633,7.231851015964432
philippe_majority,"Philippe, majority",2028,3245.221,-1.8,60.0,4.0,3.88313668514627,10.578555866434186,251.060618719032,134.52981990756214,385.5904386265941,215.0,86.52029027506902,97.55404167506902,3.0060831504254724,149.47757767506903,4.606083150425473,3908.810742544262,120.44821423700458,3271.4386646117937,2.836212525159492,65.49318211326393,2.4412610780766615,5.530845195365586,5.5685,7.486501888362844
philippe_majority,"Philippe, majority",2029,3342.57763,-1.1,50.0,3.9,3.7927166450545884,10.578555866434186,300.7507269433873,123.70275055413458,424.4534774975219,215.0,95.99953800370506,107.36430194570505,3.212021195322397,137.44750061570508,4.112021195322398,4046.258243159967,121.05203501765692,3400.598675488782,3.0331313153752997,75.3232371511305,2.2122405123238256,4.878651494469957,5.536250000000001,8.049158845780772
philippe_majority,"Philippe, majority",2030,3442.8549589000004,-0.4,45.0,3.85,3.747506625008748,10.578555866434186,250.26422244124942,111.38579898531388,361.65002142656334,215.0,105.17058209451098,116.87628895477098,3.3947491355288815,123.76199887257098,3.594749135528881,4170.020242032539,121.12099672548706,3516.572395749758,3.187260907141051,86.55764304289673,1.852770412275759,4.463614383185467,5.520125,6.776429256153009
philippe_majority,"Philippe, majority",2031,3546.1406076670005,0.09999999999999998,45.0,3.85,3.747506625008748,10.578555866434186,283.3591322711586,103.78722144272263,387.14635371388124,215.0,113.90067869329167,125.95755675935948,3.551961715421846,115.31913493635847,3.251961715421846,4285.339376968897,120.84516241977823,3624.546397886991,3.352568864311557,95.24174567858849,1.7825737120303489,4.102066675719068,5.520125,7.25416762695375
philippe_majority,"Philippe, majority",2032,3652.5248258970105,0.4,45.0,3.85,3.747506625008748,10.578555866434186,314.0946277850905,102.2089489122089,416.3035766972994,215.0,123.06206333867544,135.48064774672528,3.7092327692380045,113.56549879134322,3.1092327692380044,4398.90487576024,120.43463317678967,3730.6415873830447,3.4473966066632484,104.8632786664465,1.3931210810048773,3.485036532784236,5.520125,7.800502058439834
philippe_majority,"Philippe, majority",2033,3762.100570673921,0.5,45.0,3.85,3.747506625008748,10.578555866434186,264.99803077694463,103.43902194948588,368.4370527264305,215.0,128.47580866496597,141.2669506052573,3.7550019716764655,114.93224661053986,3.055001971676466,4513.83712237078,119.98183029865672,3837.192512864824,3.47930103138791,111.98835204789091,0.8895885341815731,3.174141602938506,5.520125,6.903601479954979
