bucket,class,mv,dv
0-1,fixed_bullet,139.64011119239288,5.2975938586309494
0-1,inflation_linked,31.508813215831996,2.715115829065705
1-2,fixed_bullet,217.6306796770201,28.26463804019808
1-2,inflation_linked,21.236821876841322,3.0886982997051233
2-3,fixed_bullet,273.006185306206,61.86837339840836
2-3,inflation_linked,46.03443027052349,11.70463287320462
3-5,fixed_bullet,379.1751813784788,138.12514259599243
3-5,inflation_linked,37.98822362417811,15.920823754724317
5-7,fixed_bullet,257.8605276539579,137.5772897397079
5-7,inflation_linked,38.585146333392366,20.638644138664468
7-10,fixed_bullet,368.62931772565815,264.713870873287
7-10,inflation_linked,42.27181430958841,37.407790674367135
10-15,fixed_bullet,194.45636171106904,194.32141258817907
10-15,inflation_linked,39.375303573849706,46.66181312482859
15-20,fixed_bullet,105.32545167434701,136.8973437059682
15-20,inflation_linked,7.2102246605842115,10.861464544047262
20-30,fixed_bullet,158.82046710561707,271.2094392569261
20-30,inflation_linked,18.329446382581352,40.85531615499355
30+,fixed_bullet,42.388178765919314,79.09398849689205
