scenario,label,year,gap_bn,spread_effect_bn,volume_effect_bn,interaction_bn
philippe_majority,"Philippe, majority",2030,-4.125899033834102,-2.5215168216867454,-1.6992678465818045,0.09488563443444775
philippe_majority,"Philippe, majority",2035,-16.340991289248024,-7.632995946150714,-9.298408513994673,0.5904131708973637
philippe_hung,"Philippe, hung Assembly",2030,0.8876402385159707,0.31603449444327225,0.5664226155272729,0.005183128545425575
philippe_hung,"Philippe, hung Assembly",2035,4.9525754670545155,1.3722716503665424,3.5362622978180127,0.04404151886996033
lepen_majority,"Le Pen, majority",2030,9.934540324831872,7.650112618144092,2.1886569493725574,0.095770757315222
lepen_majority,"Le Pen, majority",2035,33.717852467302066,20.301037713022453,12.020714327896997,1.3961004263826169
lepen_hung,"Le Pen, hung Assembly",2030,6.327602165714907,4.945055049102962,1.30227277740957,0.0802743392023757
lepen_hung,"Le Pen, hung Assembly",2035,23.31665135681422,14.413392925816936,8.08208518697873,0.8211732440185529
lepen_rupture,"Le Pen, majority, rupture (stress)",2030,18.634442517165965,17.309537250346224,1.790324904005729,-0.4654196371859882
lepen_rupture,"Le Pen, majority, rupture (stress)",2035,61.82209413752412,45.719494494928824,13.790952751691123,2.3116468909041714
