iso3,series_variant,year,line_code,contribution_pp,kind,notes
GBR,strict,1999,R10,-0.013956380040308018,revenue,nan
GBR,strict,1999,GF01,0.7812915592968879,expenditure,nan
GBR,strict,1999,GF02,0.1872806030747881,expenditure,nan
GBR,strict,1999,GF03,-0.13519244219290447,expenditure,nan
GBR,strict,1999,GF04,-0.11498556936604815,expenditure,nan
GBR,strict,1999,GF05,-0.07454596538897232,expenditure,nan
GBR,strict,1999,GF06,0.045543728909784066,expenditure,nan
GBR,strict,1999,GF07,-0.18655327210193307,expenditure,nan
GBR,strict,1999,GF08,-0.08465931127780973,expenditure,nan
GBR,strict,1999,GF09,-0.21099688895175953,expenditure,nan
GBR,strict,1999,GF10,0.20816583482549944,expenditure,nan
GBR,strict,1999,NLB_CHANGE_SUM,0.9698073885418111,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,1999,ANCHOR_B9_DELTA,7.771561172376096e-16,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,1999,WEO_GGXCNL_DELTA,0.9698073885418119,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2000,R01,-0.06439925115319795,revenue,nan
GBR,strict,2000,R02,0.1478999443833992,revenue,nan
GBR,strict,2000,R03,0.2984144121004284,revenue,nan
GBR,strict,2000,R04,0.3237535921199429,revenue,nan
GBR,strict,2000,R05,-0.06536291989982027,revenue,nan
GBR,strict,2000,R06,0.08567692013068534,revenue,nan
GBR,strict,2000,R07,-0.0752396919768116,revenue,nan
GBR,strict,2000,R08,0.05090934332477515,revenue,nan
GBR,strict,2000,R09,0.0752333372377326,revenue,nan
GBR,strict,2000,R10,0.013115005462909196,revenue,nan
GBR,strict,2000,GF01,0.049641670553902256,expenditure,nan
GBR,strict,2000,GF02,-0.044697038347803544,expenditure,nan
GBR,strict,2000,GF03,-0.05348687919729117,expenditure,nan
GBR,strict,2000,GF04,-0.11446796406466841,expenditure,nan
GBR,strict,2000,GF05,-0.044798762427058963,expenditure,nan
GBR,strict,2000,GF06,0.08219873755648749,expenditure,nan
GBR,strict,2000,GF07,-0.011026257597054195,expenditure,nan
GBR,strict,2000,GF08,0.002883286379864146,expenditure,nan
GBR,strict,2000,GF09,-0.16950204594500876,expenditure,nan
GBR,strict,2000,GF10,0.14694426478517042,expenditure,nan
GBR,strict,2000,NLB_CHANGE_SUM,0.6336897034265823,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2000,ANCHOR_B9_DELTA,9.992007221626409e-16,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2000,WEO_GGXCNL_DELTA,0.6336897034265833,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2001,R01,0.026047990400196452,revenue,nan
GBR,strict,2001,R02,-0.11082294793168523,revenue,nan
GBR,strict,2001,R03,0.1910873313401354,revenue,nan
GBR,strict,2001,R04,-0.46411932999297806,revenue,nan
GBR,strict,2001,R05,0.05568073015258246,revenue,nan
GBR,strict,2001,R06,0.10959564156755586,revenue,nan
GBR,strict,2001,R07,-0.05345406657628607,revenue,nan
GBR,strict,2001,R08,-0.051496080698481585,revenue,nan
GBR,strict,2001,R09,0.18821829232163084,revenue,nan
GBR,strict,2001,R10,0.03974701482773449,revenue,nan
GBR,strict,2001,GF01,0.6092089818564579,expenditure,nan
GBR,strict,2001,GF02,0.09679735945346199,expenditure,nan
GBR,strict,2001,GF03,-0.1019040165056509,expenditure,nan
GBR,strict,2001,GF04,-0.4768477049531813,expenditure,nan
GBR,strict,2001,GF05,-0.033816161423596336,expenditure,nan
GBR,strict,2001,GF06,-0.08635998346821408,expenditure,nan
GBR,strict,2001,GF07,-0.2735548458194695,expenditure,nan
GBR,strict,2001,GF08,-0.021755358361300048,expenditure,nan
GBR,strict,2001,GF09,-0.3188006711299929,expenditure,nan
GBR,strict,2001,GF10,-0.3800002839622507,expenditure,nan
GBR,strict,2001,NLB_CHANGE_SUM,-1.0565481089033315,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2001,ANCHOR_B9_DELTA,1.5543122344752192e-15,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2001,WEO_GGXCNL_DELTA,-1.05654810890333,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2002,R01,0.1286461840987109,revenue,nan
GBR,strict,2002,R02,-0.184320696706438,revenue,nan
GBR,strict,2002,R03,-0.3363040293538719,revenue,nan
GBR,strict,2002,R04,-0.35751455802662363,revenue,nan
GBR,strict,2002,R05,0.06311484875987407,revenue,nan
GBR,strict,2002,R06,-0.09997474321155886,revenue,nan
GBR,strict,2002,R07,-0.055548227403963035,revenue,nan
GBR,strict,2002,R08,-0.11976904212916192,revenue,nan
