check_id,severity,scope,message
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_TAXAG,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_TAXAG/20260831T125130Z_4c0b48b8e89b.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_TAXAG,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_TAXAG/20260831T125131Z_24e0a5bad65d.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_NAMA10_GDP,snapshot file missing locally: data/raw/EUROSTAT_NAMA10_GDP/20260831T125132Z_1667cb515560.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_NAMA10_GDP,snapshot file missing locally: data/raw/EUROSTAT_NAMA10_GDP/20260831T125132Z_aa6e31798251.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO,snapshot file missing locally: data/raw/IMF_WEO/20260831T125133Z_b027ddab52cd.json (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125134Z_62e4a41e559c.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2025_10,snapshot file missing locally: data/raw/IMF_WEO_2025_10/20260831T125135Z_cdeaa91b9bf7.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2025_04,snapshot file missing locally: data/raw/IMF_WEO_2025_04/20260831T125136Z_079bf65db386.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125138Z_9c16ff3b3d0b.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125139Z_405a588b4b4f.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_RS,snapshot file missing locally: data/raw/OECD_RS/20260831T125140Z_c70d6b741f11.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_T11,snapshot file missing locally: data/raw/OECD_T11/20260831T125140Z_0a41f94feaef.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125143Z_e838ea8ab9f7.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125144Z_643be27710b5.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_RS,snapshot file missing locally: data/raw/OECD_RS/20260831T125145Z_769ac24ffe3d.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_T11,snapshot file missing locally: data/raw/OECD_T11/20260831T125145Z_762a1e0c51d0.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125148Z_19f9a8081a88.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125148Z_f1e31d1f1a6b.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_RS,snapshot file missing locally: data/raw/OECD_RS/20260831T125149Z_3e19c65717f8.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_T11,snapshot file missing locally: data/raw/OECD_T11/20260831T125150Z_fb99d60076d2.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EC_AMECO,snapshot file missing locally: data/raw/EC_AMECO/20260831T125151Z_085e506f0a5a.zip (raw store not synced)
S0_SNAPSHOTS,WARN,EC_AMECO,snapshot file missing locally: data/raw/EC_AMECO/20260831T125153Z_6c9aabbba4ab.zip (raw store not synced)
S0_SNAPSHOTS,WARN,EC_AMECO,snapshot file missing locally: data/raw/EC_AMECO/20260831T125154Z_720c9189ca21.zip (raw store not synced)
S0_SNAPSHOTS,WARN,EC_AMECO,snapshot file missing locally: data/raw/EC_AMECO/20260831T125155Z_68a759d5910c.zip (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_ESA_T11,snapshot file missing locally: data/raw/ONS_ESA_T11/20260831T125155Z_545236391260.xlsx (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_GG_RECEIPTS,snapshot file missing locally: data/raw/ONS_GG_RECEIPTS/20260831T125156Z_d5a92eb4bfbf.xls (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_TAX_DETAIL,snapshot file missing locally: data/raw/ONS_TAX_DETAIL/20260831T125157Z_53c756853425.xls (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_TAX_LIST,snapshot file missing locally: data/raw/ONS_TAX_LIST/20260831T125157Z_70b05f778aae.xls (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_GDP,snapshot file missing locally: data/raw/ONS_GDP/20260831T125158Z_adfb145c482b.json (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_EXP,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_EXP/20260831T125553Z_f88cbdb3b751.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_EXP,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_EXP/20260831T125558Z_26601ec18b30.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_MAIN,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_MAIN/20260831T125559Z_aa12ca719566.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_MAIN,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_MAIN/20260831T125601Z_0c27a78923a2.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_TAXAG,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_TAXAG/20260831T125602Z_4c0b48b8e89b.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_TAXAG,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_TAXAG/20260831T125603Z_24e0a5bad65d.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_NAMA10_GDP,snapshot file missing locally: data/raw/EUROSTAT_NAMA10_GDP/20260831T125603Z_1667cb515560.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_NAMA10_GDP,snapshot file missing locally: data/raw/EUROSTAT_NAMA10_GDP/20260831T125605Z_aa6e31798251.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO,snapshot file missing locally: data/raw/IMF_WEO/20260831T125606Z_dce3f487bf58.json (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125607Z_62e4a41e559c.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2025_10,snapshot file missing locally: data/raw/IMF_WEO_2025_10/20260831T125608Z_cdeaa91b9bf7.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2025_04,snapshot file missing locally: data/raw/IMF_WEO_2025_04/20260831T125609Z_079bf65db386.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125611Z_9c16ff3b3d0b.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125612Z_405a588b4b4f.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_RS,snapshot file missing locally: data/raw/OECD_RS/20260831T125619Z_72267e22e46e.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_T11,snapshot file missing locally: data/raw/OECD_T11/20260831T125619Z_0a41f94feaef.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125621Z_e838ea8ab9f7.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125622Z_643be27710b5.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_RS,snapshot file missing locally: data/raw/OECD_RS/20260831T125623Z_2be29c18045a.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_T11,snapshot file missing locally: data/raw/OECD_T11/20260831T125623Z_762a1e0c51d0.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125625Z_19f9a8081a88.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_GFS,snapshot file missing locally: data/raw/IMF_GFS/20260831T125626Z_f1e31d1f1a6b.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_RS,snapshot file missing locally: data/raw/OECD_RS/20260831T125630Z_afad7bab132d.csv (raw store not synced)
S0_SNAPSHOTS,WARN,OECD_T11,snapshot file missing locally: data/raw/OECD_T11/20260831T125631Z_fb99d60076d2.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EC_AMECO,snapshot file missing locally: data/raw/EC_AMECO/20260831T125632Z_085e506f0a5a.zip (raw store not synced)
S0_SNAPSHOTS,WARN,EC_AMECO,snapshot file missing locally: data/raw/EC_AMECO/20260831T125634Z_6c9aabbba4ab.zip (raw store not synced)
S0_SNAPSHOTS,WARN,EC_AMECO,snapshot file missing locally: data/raw/EC_AMECO/20260831T125634Z_720c9189ca21.zip (raw store not synced)
S0_SNAPSHOTS,WARN,EC_AMECO,snapshot file missing locally: data/raw/EC_AMECO/20260831T125635Z_68a759d5910c.zip (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_ESA_T11,snapshot file missing locally: data/raw/ONS_ESA_T11/20260831T125636Z_545236391260.xlsx (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_GG_RECEIPTS,snapshot file missing locally: data/raw/ONS_GG_RECEIPTS/20260831T125637Z_d5a92eb4bfbf.xls (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_TAX_DETAIL,snapshot file missing locally: data/raw/ONS_TAX_DETAIL/20260831T125637Z_53c756853425.xls (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_TAX_LIST,snapshot file missing locally: data/raw/ONS_TAX_LIST/20260831T125638Z_70b05f778aae.xls (raw store not synced)
S0_SNAPSHOTS,WARN,ONS_GDP,snapshot file missing locally: data/raw/ONS_GDP/20260831T125639Z_adfb145c482b.json (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_EXP,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_EXP/20260831T125905Z_f88cbdb3b751.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_EXP,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_EXP/20260831T125909Z_26601ec18b30.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_MAIN,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_MAIN/20260831T125910Z_aa12ca719566.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_MAIN,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_MAIN/20260831T125911Z_0c27a78923a2.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_TAXAG,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_TAXAG/20260831T125912Z_4c0b48b8e89b.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_GOV10A_TAXAG,snapshot file missing locally: data/raw/EUROSTAT_GOV10A_TAXAG/20260831T125913Z_24e0a5bad65d.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_NAMA10_GDP,snapshot file missing locally: data/raw/EUROSTAT_NAMA10_GDP/20260831T125914Z_1667cb515560.csv (raw store not synced)
S0_SNAPSHOTS,WARN,EUROSTAT_NAMA10_GDP,snapshot file missing locally: data/raw/EUROSTAT_NAMA10_GDP/20260831T125915Z_aa6e31798251.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO,snapshot file missing locally: data/raw/IMF_WEO/20260831T125915Z_6210895a8304.json (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125916Z_a9b2436ea989.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125917Z_03431de9a257.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125918Z_46d61a514d60.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125918Z_f07a0f3d7c7f.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125919Z_3a666fc5dade.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125920Z_20da52dbd721.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125920Z_ffa1ba34e9b9.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125921Z_5c27675dfe59.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125922Z_9301c554a506.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125923Z_2191354b8419.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125924Z_8ecd30b14d37.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125924Z_34a375422469.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125925Z_d16557e02954.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125927Z_9a82409f67ce.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2026_04,snapshot file missing locally: data/raw/IMF_WEO_2026_04/20260831T125927Z_b688e42112b1.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2025_10,snapshot file missing locally: data/raw/IMF_WEO_2025_10/20260831T125928Z_c3c5f1e9de7e.csv (raw store not synced)
S0_SNAPSHOTS,WARN,IMF_WEO_2025_10,snapshot file missing locally: data/raw/IMF_WEO_2025_10/20260831T125929Z_68e5d659e969.csv (raw store not synced)
