iso3,series_variant,weo_vintage,source_vintage_set_hash,base_year,horizon_year,side,residual_kind,contribution_pp
DEU,strict,2026-04,9b805ef685ff,2025,2026,revenue,resid_coverage,-0.2979468406952335
DEU,strict,2026-04,9b805ef685ff,2025,2026,revenue,resid_disagreement,-0.42533914334348943
DEU,strict,2026-04,9b805ef685ff,2025,2026,expenditure,resid_coverage,-1.4506931632588835
DEU,strict,2026-04,9b805ef685ff,2025,2026,expenditure,resid_disagreement,0.33136857705916567
DEU,strict,2026-04,9b805ef685ff,2025,2027,revenue,resid_coverage,-0.4506209196826465
DEU,strict,2026-04,9b805ef685ff,2025,2027,revenue,resid_disagreement,-0.4932223693418447
DEU,strict,2026-04,9b805ef685ff,2025,2027,expenditure,resid_coverage,-1.838995340620124
DEU,strict,2026-04,9b805ef685ff,2025,2027,expenditure,resid_disagreement,0.32171421538783607
DEU,strict,2026-04,9b805ef685ff,2025,2028,revenue,resid_total,-0.14302427299307774
DEU,strict,2026-04,9b805ef685ff,2025,2028,expenditure,resid_total,-1.2779883652997253
DEU,strict,2026-04,9b805ef685ff,2025,2029,revenue,resid_total,-0.07630908826385396
DEU,strict,2026-04,9b805ef685ff,2025,2029,expenditure,resid_total,-1.315200610944451
DEU,strict,2026-04,9b805ef685ff,2025,2030,revenue,resid_total,-0.3226029395314437
DEU,strict,2026-04,9b805ef685ff,2025,2030,expenditure,resid_total,-1.1664032046915436
DEU,strict,2026-04,9b805ef685ff,2025,2031,revenue,resid_total,0.10246672099021303
DEU,strict,2026-04,9b805ef685ff,2025,2031,expenditure,resid_total,-0.9458862954066851
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2026,revenue,resid_coverage,-0.2979468406952335
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2026,revenue,resid_disagreement,-0.42533914334348943
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2026,expenditure,resid_coverage,-0.7853593185614273
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2026,expenditure,resid_disagreement,0.33136857705916567
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2027,revenue,resid_coverage,-0.4506209196826465
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2027,revenue,resid_disagreement,-0.4932223693418447
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2027,expenditure,resid_coverage,-0.8126973597872442
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2027,expenditure,resid_disagreement,0.32171421538783607
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2028,revenue,resid_total,-0.14302427299307774
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2028,expenditure,resid_total,-0.8430654786163249
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2029,revenue,resid_total,-0.07630908826385396
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2029,expenditure,resid_total,-0.8141940103866991
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2030,revenue,resid_total,-0.3226029395314437
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2030,expenditure,resid_total,-0.5154629518007825
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2031,revenue,resid_total,0.10246672099021303
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2031,expenditure,resid_total,-0.102672322248333
GBR,strict,2025-10,9b805ef685ff,2024,2025,revenue,resid_total,0.21732294886939352
GBR,strict,2025-10,9b805ef685ff,2024,2025,expenditure,resid_total,0.34887665216274955
GBR,strict,2025-10,9b805ef685ff,2024,2026,revenue,resid_total,1.3151207856204024
GBR,strict,2025-10,9b805ef685ff,2024,2026,expenditure,resid_total,0.21923766812025347
GBR,strict,2025-10,9b805ef685ff,2024,2027,revenue,resid_total,1.6753612130013584
GBR,strict,2025-10,9b805ef685ff,2024,2027,expenditure,resid_total,0.43453889297231374
GBR,strict,2025-10,9b805ef685ff,2024,2028,revenue,resid_total,2.35750002972312
GBR,strict,2025-10,9b805ef685ff,2024,2028,expenditure,resid_total,0.6506589790099382
GBR,strict,2025-10,9b805ef685ff,2024,2029,revenue,resid_total,2.318619797665039
GBR,strict,2025-10,9b805ef685ff,2024,2029,expenditure,resid_total,0.9079047573033405
GBR,strict,2025-10,9b805ef685ff,2024,2030,revenue,resid_total,2.2588842837458936
GBR,strict,2025-10,9b805ef685ff,2024,2030,expenditure,resid_total,1.2540587097778444
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2025,revenue,resid_total,0.21732294886939352
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2025,expenditure,resid_total,1.3214172420029966
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2026,revenue,resid_total,1.3151207856204024
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2026,expenditure,resid_total,1.238054388180629
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2027,revenue,resid_total,1.6753612130013584
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2027,expenditure,resid_total,1.380796748831946
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2028,revenue,resid_total,2.35750002972312
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2028,expenditure,resid_total,0.6506589790099382
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2029,revenue,resid_total,2.318619797665039
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2029,expenditure,resid_total,0.9079047573033405
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2030,revenue,resid_total,2.2588842837458936
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2030,expenditure,resid_total,1.2540587097778444
FRA,strict,2025-10,9b805ef685ff,2024,2025,revenue,resid_coverage,-0.059259870648720736
FRA,strict,2025-10,9b805ef685ff,2024,2025,revenue,resid_disagreement,-0.44689024527369003
FRA,strict,2025-10,9b805ef685ff,2024,2025,expenditure,resid_coverage,-0.2790629199832098
FRA,strict,2025-10,9b805ef685ff,2024,2025,expenditure,resid_disagreement,0.10448533626560286
FRA,strict,2025-10,9b805ef685ff,2024,2026,revenue,resid_coverage,0.7707399927527635
FRA,strict,2025-10,9b805ef685ff,2024,2026,revenue,resid_disagreement,-0.8629177626094053
FRA,strict,2025-10,9b805ef685ff,2024,2026,expenditure,resid_coverage,-0.5057574854210933
FRA,strict,2025-10,9b805ef685ff,2024,2026,expenditure,resid_disagreement,0.13356485597015855
FRA,strict,2025-10,9b805ef685ff,2024,2027,revenue,resid_coverage,0.6335806635558223
FRA,strict,2025-10,9b805ef685ff,2024,2027,revenue,resid_disagreement,-0.8190768089724965
FRA,strict,2025-10,9b805ef685ff,2024,2027,expenditure,resid_coverage,-0.8804223481081869
FRA,strict,2025-10,9b805ef685ff,2024,2027,expenditure,resid_disagreement,0.29375556284289006
FRA,strict,2025-10,9b805ef685ff,2024,2028,revenue,resid_total,0.06135669871948357
FRA,strict,2025-10,9b805ef685ff,2024,2028,expenditure,resid_total,-0.6367647223761131
FRA,strict,2025-10,9b805ef685ff,2024,2029,revenue,resid_total,0.015417989529320497
FRA,strict,2025-10,9b805ef685ff,2024,2029,expenditure,resid_total,-0.6573180129687599
FRA,strict,2025-10,9b805ef685ff,2024,2030,revenue,resid_total,0.01861948160124527
FRA,strict,2025-10,9b805ef685ff,2024,2030,expenditure,resid_total,-0.7347210739872532
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2025,revenue,resid_coverage,-0.059259870648720736
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2025,revenue,resid_disagreement,-0.44689024527369003
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2025,expenditure,resid_coverage,0.5946595536135947
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2025,expenditure,resid_disagreement,0.10448533626560286
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2026,revenue,resid_coverage,0.78730041305352
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2026,revenue,resid_disagreement,-0.8629177626094053
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2026,expenditure,resid_coverage,1.4657450557073801
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2026,expenditure,resid_disagreement,0.13356485597015855
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2027,revenue,resid_coverage,0.6501412628774751
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2027,revenue,resid_disagreement,-0.8190768089724965
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2027,expenditure,resid_coverage,1.7972525001379944
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2027,expenditure,resid_disagreement,0.29375556284289006
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2028,revenue,resid_total,0.06135669871948357
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2028,expenditure,resid_total,-0.4915752937037172
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2029,revenue,resid_total,0.015417989529320497
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2029,expenditure,resid_total,-0.5291718635465368
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2030,revenue,resid_total,0.01861948160124527
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2030,expenditure,resid_total,-0.6040985506568854
DEU,strict,2025-10,9b805ef685ff,2024,2025,revenue,resid_coverage,0.014142319780972912
DEU,strict,2025-10,9b805ef685ff,2024,2025,revenue,resid_disagreement,0.042841683553285215
DEU,strict,2025-10,9b805ef685ff,2024,2025,expenditure,resid_coverage,-1.1242233017652175
DEU,strict,2025-10,9b805ef685ff,2024,2025,expenditure,resid_disagreement,0.10014515655172307
DEU,strict,2025-10,9b805ef685ff,2024,2026,revenue,resid_coverage,-0.3866607612476083
DEU,strict,2025-10,9b805ef685ff,2024,2026,revenue,resid_disagreement,-0.2745297505994615
DEU,strict,2025-10,9b805ef685ff,2024,2026,expenditure,resid_coverage,-2.574916465024101
DEU,strict,2025-10,9b805ef685ff,2024,2026,expenditure,resid_disagreement,0.5910026492976892
