run_id,iso3,year,chain,step,value_lcu_mn,item_source_id,basis,period_basis,period_conversion_method,snapshot_sha256,quality_grade,notes
20260909T180316Z,DEU,2000,financing,B_s1311_b9,-23805.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2000,financing,C_s13_nlb,-36509.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2001,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2001,financing,B_s1311_b9,-24788.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2001,financing,C_s13_nlb,-68602.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2002,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2002,financing,B_s1311_b9,-38238.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2002,financing,C_s13_nlb,-90850.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2003,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2003,financing,B_s1311_b9,-31329.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2003,financing,C_s13_nlb,-85812.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2004,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2004,financing,B_s1311_b9,-41551.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2004,financing,C_s13_nlb,-78445.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2005,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2005,financing,B_s1311_b9,-46939.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2005,financing,C_s13_nlb,-78396.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2006,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2006,financing,B_s1311_b9,-33650.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2006,financing,C_s13_nlb,-42584.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2007,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
