iso3,year,step,item,value_lcu_mn,item_type,item_source_id,basis,run_id,source_id,snapshot_sha256,quality_grade,notes
GBR,1992,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1992,A_cg_cash_requirement,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1992,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1992,A_cg_cash_requirement,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1992,B_s1311_b9,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1992,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1992,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1992,C_s13_nlb,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1992,C_s13_nlb,official_total,40038.0,official,package_NLB,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1992,C_s13_nlb,residual,,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1993,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1993,A_cg_cash_requirement,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1993,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1993,A_cg_cash_requirement,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1993,B_s1311_b9,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1993,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1993,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1993,C_s13_nlb,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1993,C_s13_nlb,official_total,53417.0,official,package_NLB,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1993,C_s13_nlb,residual,,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1994,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1994,A_cg_cash_requirement,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1994,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1994,A_cg_cash_requirement,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1994,B_s1311_b9,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1994,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1994,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1994,C_s13_nlb,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1994,C_s13_nlb,official_total,49803.0,official,package_NLB,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1994,C_s13_nlb,residual,,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1995,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1995,A_cg_cash_requirement,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1995,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1995,A_cg_cash_requirement,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1995,B_s1311_b9,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1995,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1995,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1995,C_s13_nlb,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1995,C_s13_nlb,official_total,46210.0,official,package_NLB,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1995,C_s13_nlb,residual,,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1996,register,official_total,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1996,A_cg_cash_requirement,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1996,A_cg_cash_requirement,official_total,,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1996,A_cg_cash_requirement,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1996,B_s1311_b9,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1996,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1996,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1996,C_s13_nlb,carried_from_previous_step,,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1996,C_s13_nlb,official_total,37465.0,official,package_NLB,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1996,C_s13_nlb,residual,,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1997,register,sum_bill,-1569.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1997,register,sum_mixed,17315.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1997,register,official_total,15746.0,computed,,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1997,A_cg_cash_requirement,carried_from_previous_step,15746.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1997,A_cg_cash_requirement,out_of_register_coin,188.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_deposits_from_other_sectors,275.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_exchange_cover_scheme,12.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_government_foreign_currency_debt,-2337.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_loans_from_mfis,-1900.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_national_savings,1550.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_nilo_lending_asset,141.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_northern_ireland_cg_debt,-19.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_official_reserves_asset,2362.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_other_overseas_financing,-90.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_sterling_deposits_asset,318.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,out_of_register_tax_instruments,-169.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,official_total,16077.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash_requirement,residual,0.0,residual,,cash,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1997,B_s1311_b9,carried_from_previous_step,16077.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1997,B_s1311_b9,official_total,,official,ONS_PSF_APPENDIX_A,accrued,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,B_s1311_b9,residual,,residual,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1997,C_s13_nlb,carried_from_previous_step,16077.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1997,C_s13_nlb,official_total,18843.0,official,package_NLB,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1997,C_s13_nlb,residual,2766.0,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1998,register,sum_bill,86.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1998,register,sum_mixed,-5544.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1998,register,official_total,-5458.0,computed,,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1998,A_cg_cash_requirement,carried_from_previous_step,-5458.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1998,A_cg_cash_requirement,out_of_register_coin,168.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_deposits_from_other_sectors,-2358.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_exchange_cover_scheme,-3.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_government_foreign_currency_debt,28.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_loans_from_mfis,1066.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_national_savings,1323.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_nilo_lending_asset,118.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_northern_ireland_cg_debt,-18.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_official_reserves_asset,164.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_other_overseas_financing,-91.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_sterling_deposits_asset,338.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,out_of_register_tax_instruments,-130.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,official_total,-4853.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,A_cg_cash_requirement,residual,0.0,residual,,cash,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1998,B_s1311_b9,carried_from_previous_step,-4853.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1998,B_s1311_b9,official_total,-1504.0,official,ONS_PSF_APPENDIX_A,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,B_s1311_b9,residual,3349.0,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1998,C_s13_nlb,carried_from_previous_step,-1504.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1998,C_s13_nlb,official_total,2083.0,official,package_NLB,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1998,C_s13_nlb,residual,3587.0,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1999,register,sum_bill,1893.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1999,register,sum_mixed,-5787.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1999,register,official_total,-3894.0,computed,,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,1999,A_cg_cash_requirement,carried_from_previous_step,-3894.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1999,A_cg_cash_requirement,out_of_register_coin,191.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_deposits_from_other_sectors,238.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_exchange_cover_scheme,-2.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_government_foreign_currency_debt,-2358.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_loans_from_mfis,6078.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_national_savings,-1023.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_nilo_lending_asset,-91.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_northern_ireland_cg_debt,-13.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_official_reserves_asset,639.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_other_overseas_financing,-105.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_sterling_deposits_asset,71.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,out_of_register_tax_instruments,-122.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,official_total,-391.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,A_cg_cash_requirement,residual,0.0,residual,,cash,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1999,B_s1311_b9,carried_from_previous_step,-391.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1999,B_s1311_b9,official_total,-10696.0,official,ONS_PSF_APPENDIX_A,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,B_s1311_b9,residual,-10305.0,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1999,C_s13_nlb,carried_from_previous_step,-10696.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,1999,C_s13_nlb,official_total,-7977.0,official,package_NLB,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,1999,C_s13_nlb,residual,2719.0,residual,,"accrued, net borrowing = -B.9",20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,2000,register,sum_bill,-1652.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,2000,register,sum_mixed,-14840.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,2000,register,official_total,-16492.0,computed,,cash,20260909T175651Z,ggfiscal.debt.chains,,B,aggregate class-level layer (DD8) pending the per-security register (OQ-8)
GBR,2000,A_cg_cash_requirement,carried_from_previous_step,-16492.0,computed,,,20260909T175651Z,ggfiscal.debt.chains,,B,
GBR,2000,A_cg_cash_requirement,out_of_register_coin,226.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,2000,A_cg_cash_requirement,out_of_register_deposits_from_other_sectors,3130.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,2000,A_cg_cash_requirement,out_of_register_exchange_cover_scheme,1.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,2000,A_cg_cash_requirement,out_of_register_government_foreign_currency_debt,-9.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,2000,A_cg_cash_requirement,out_of_register_loans_from_mfis,3199.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
GBR,2000,A_cg_cash_requirement,out_of_register_national_savings,-537.0,official,ONS_PSF_APPENDIX_S,cash,20260909T175651Z,ggfiscal.debt.chains,,A,
