iso3,as_of,instrument_class,bucket,nominal_lcu_mn,nominal_uplifted_lcu_mn,market_hands_lcu_mn,n_securities,weighted_residual_years,run_id,source_id,snapshot_sha256,quality_grade,notes
DEU,1997-12-31,floating,2-3,2556.45940681,,,1,2.2642026009582477,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,floating,5-7,5112.918812100001,,,1,6.721423682409308,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,other,0-1,8275.857283097203,,,36,0.45790381573276207,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,other,1-2,6505.044584652041,,,30,1.4343208055767454,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,other,2-3,7652.940235092002,,,15,2.5289379184316463,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,other,3-5,23225.678867800605,,,31,3.9304967426592867,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1997-12-31,other,5-7,8157.41051116,,,17,5.421113489412712,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,bill,0-1,10242.19896412264,,,2,0.16593846833430648,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,fixed_bullet,0-1,50106.60437221596,,,17,0.4773359035877052,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,fixed_bullet,1-2,70046.98773707,,,15,1.5686086421677266,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,fixed_bullet,2-3,43459.80991002,,,7,2.5235575954814453,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,fixed_bullet,3-5,90040.45956268,,,14,3.9985962341496104,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,fixed_bullet,5-7,39369.47485688,,,5,6.223277065146879,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,fixed_bullet,7-10,94588.99802505,,,8,8.365273692553957,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,fixed_bullet,15-20,4090.33505155,,,2,17.501711156775592,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,fixed_bullet,20-30,40903.350497139996,,,4,27.934017795963157,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,floating,1-2,2556.45940681,,,1,1.264887063655031,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,floating,5-7,5112.918812100001,,,1,5.722108145106092,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,other,0-1,7805.213080891493,,,42,0.4438396765561007,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,other,1-2,8021.786300445332,,,27,1.525945578560559,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,other,2-3,11505.146817463696,,,15,2.4931587952967877,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,other,3-5,17937.44896033,,,28,3.7162366548414774,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1998-12-31,other,5-7,4798.63658908,,,21,5.378289412074019,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,bill,0-1,9895.0,,,2,0.16326721472103217,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,0-1,71046.98773707,,,15,0.5747677165689653,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,1-2,65459.80991002,,,11,1.5395480077424035,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,2-3,50106.604366319996,,,7,2.6338683317215144,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,3-5,77095.31248291,,,13,3.9323622940722154,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,5-7,55314.21467653,,,7,5.745273407221775,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,7-10,113513.11208203,,,8,8.439175322096837,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,10-15,11000.0,,,1,10.012320328542094,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,15-20,4090.33505155,,,2,16.50239561947238,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,fixed_bullet,20-30,46890.431685179996,,,4,27.135742991865044,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,floating,0-1,2556.45940681,,,1,0.2655715263518138,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,floating,3-5,5112.918812100001,,,1,4.722792607802875,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,other,0-1,8642.76360103895,,,39,0.529863527362034,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,other,1-2,11787.557963395522,,,28,1.4988886743545065,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,other,2-3,10921.48228631,,,16,2.3769521775539353,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,other,3-5,10700.05184503,,,25,3.66255220253136,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,1999-12-31,other,5-7,1456.24583025,,,18,5.533110320660344,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,bill,0-1,9734.0,,,2,0.16684351315140153,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,0-1,65459.80991002,,,11,0.5374946196520548,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,1-2,74106.60436632,,,11,1.6237059455799006,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,2-3,46369.47485656,,,7,2.5074340530969574,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,3-5,87869.47485688,,,12,4.12824611646999,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,5-7,57394.64287292,,,6,5.729622638611896,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,7-10,122835.59920852,,,8,8.324723288019813,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,10-15,15000.0,,,1,10.009582477754961,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,15-20,4090.33505155,,,2,15.50034223138203,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,20-30,55890.431685179996,,,5,26.596902988418456,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,fixed_bullet,30+,5000.0,,,1,30.00958247775496,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,floating,3-5,5112.918812100001,,,1,3.7207392197125255,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,other,0-1,12650.369779586092,,,40,0.4991693489835265,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,other,1-2,11105.17639635,,,28,1.3775744141573805,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,other,2-3,6334.574733,,,12,2.2740415670549377,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,other,3-5,4824.09023566,,,26,3.505424114800276,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2000-12-31,other,5-7,3210.3849174399998,,,17,5.488769844381164,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,bill,0-1,19644.0,,,2,0.17893939919757168,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,fixed_bullet,0-1,74106.60436632,,,11,0.6243904082766836,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,fixed_bullet,1-2,86369.47485656,,,11,1.5381183561406826,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,fixed_bullet,2-3,30725.83762635,,,6,2.5691691312655878,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,fixed_bullet,3-5,111219.52317355,,,11,3.832013410253581,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,fixed_bullet,5-7,68679.48469752,,,6,5.834972466202087,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,fixed_bullet,7-10,132000.0,,,7,8.307655611557049,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,fixed_bullet,10-15,4090.33505155,,,2,14.501026694078812,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,fixed_bullet,20-30,66890.43168518,,,6,26.158795884623064,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,floating,2-3,5112.918812100001,,,1,2.7214236824093088,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,other,0-1,11972.25089236,,,40,0.3869809539998505,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,other,1-2,6731.59787529,,,25,1.2940925931119642,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,other,2-3,3673.57741671,,,13,2.247736215769914,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,other,3-5,3775.25367991,,,24,4.150659298913627,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2001-12-31,other,5-7,2226.4530654600003,,,18,5.55246603427038,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,bill,0-1,28839.0,,,6,0.24116241745132808,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,fixed_bullet,0-1,86369.47485656,,,11,0.5388028188374661,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,fixed_bullet,1-2,75725.83762635,,,10,1.567376769959781,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,fixed_bullet,2-3,57143.63723053,,,6,2.4305958717732317,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,fixed_bullet,3-5,122753.39881653,,,9,3.8586381329691593,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,fixed_bullet,5-7,82980.85100274,,,7,5.8740940836015865,20260910T000226Z,ggfiscal.debt.maturity,,A,
